artist_name,birth_year,title,artwork_date
Adolph Gottlieb,1903,Ashes of Phoenix,1948.0
Amelia Peláez Del Casal,1896,Girls,1943.0
Enrique Brinkmann,1938,Procession,1962.0
William Allan,1936,Rainbow Trout Head - Hauser Lake Montana,1972.0
Francisco Toledo,1940,Letter to Antonio Souza,1960.0
Frances Barth,1946,Script,1978.0
Kcho (Alexis Leyva Machado),1970,A los Ojos de la Historia,1992.0
Hilaire Hiler,1898,Pouter Pigeons,1930.0
Fidelio Ponce De León,1896,Three Girls,1943.0
Florine Stettheimer,1871,Designs for artist's ballet Orphée of the Quat-z-arts,1912.0
Aleksander Kobzdej,1920,Conflict,1959.0
Roger Fry,1866,Vanessa Bell Painting,1914.0
Carmen L. Cicero,1926,From Above,1961.0
Edward Hopper,1882,"Box Factory, Gloucester",1928.0
José Clemente Orozco,1883,"Head of Quetzalcoatl (Study for the Dartmouth College Mural, ""An Epic of American Civilization"")",1932.0
Gwen John,1876,Portrait of Manguin,
William Baziotes,1912,Blue Sun (recto); Untitled (verso),1945.0
Miguel Ocampo,1922,Number 166,1957.0
Hans Schmithals,1878,The Glacier,1903.0
Burgoyne Diller,1906,Study for First Theme,1963.0
Spencer Frederick Gore,1878,Study for the painting Inez and Taki,1910.0
John D. Graham,1886,Celia,1944.0
Allan Rohan Crite,1910,Stop Over,1934.0
Ung-no Lee,1904,Sailing,1957.0
Mell Daniel,1899,Tree Forms,1970.0
Laura Grisi,1939,Endless Dialogue,1978.0
Charles Ray Frazier,1930,Chinese Gate,1970.0
Nigel Hall,1943,Hollow Ground I,1977.0
Georges-Pierre Seurat,1859,Carriage and Dog (La Carriole et le chien),1882.0
Per Krohg,1889,Rain,1933.0
Richard Francisco,1942,Zebra,1973.0
Karl Free,1903,Study for the curtain for the ballet Pocahontas,1936.0
Marsden Hartley,1877,Study for Prayer on Park Avenue,1942.0
Walt Kuhn,1877,"Girl from ""Show Boat""",1928.0
Tonita Peña (Quah Ah),1893,Corn Dance,
Gerhard Altenbourg,1926,"Garden Behind the Spinnbahn, End of February (Gartenkolonie hinter der Spinnbahn, Ende Februar)",1956.0
Nancy Graves,1940,"Arctic Ocean Floor, Barometric Curves",1972.0
Johannes Itten,1888,The Eavesdropper (Horchende),1918.0
Raymond Saunders,1934,Light Up,1970.0
August Macke,1887,Street Scene with Cathedral (Straßenbild mit Kathedrale),1914.0
Seymour Lipton,1903,Study for Sanctuary,1953.0
Raúl Martínez,1927,La Juventuo et Ala,1978.0
"Alexander ""Skunder"" Boghossian",1937,Ju-Ju's Wedding,1964.0
Giacomo Porzano,1925,The Riot,1961.0
José Cláudio Da Silva,1932,Apocalypse Number 3,1956.0
Theodore Roszak,1907,Study for Spectre of  Kitty Hawk,1946.0
Miriam Cahn,1949,"Lesen im Staub, D.W.L. (Das Wilde Leben),",1984.0
Jacques Mauny,1893,In Port,1932.0
Corrado Cagli,1910,Troubadours,1946.0
Michael Mazur,1935,Study for Closed Ward #12,1962.0
Maina-Miriam Munsky,1943,Birth,1976.0
Jean Cortot,1925,Homage à William Blake,1985.0
Kenneth Callahan,1905,Cascade Mountain,1944.0
Luca Crippa,1922,Monument to Augustus,1964.0
Bernard Perlin,1918,Seated Female Nude,1942.0
Hugo Robus,1885,Study for Modeling Hands,1918.0
Edda Renouf,1943,Marks II,1973.0
Munira Al-Kazi,1939,Conception,1962.0
Reiner Ruthenbeck,1937,Metal Frame (Corner),1967.0
Jan J. Schoonhoven,1914,T76 M2,1976.0
Joseph Stella,1877,Song of the Nightingale,1918.0
John Pearson,1940,Doubts #1: Reassess,1985.0
Fernando Botero,1932,Woman in a Bathtub,1974.0
Colin Self,1941,"Drive, He Said",1965.0
Alastair (Hans H. Voight),1887,Harold,1925.0
Jacques Villeglé,1926,bleu O noir,1955.0
Charmion von Wiegand,1899,#254-1960,1960.0
Yoshio Yoshida,1940,The New Literature (II): A Visual Novel with Color,1972.0
Fabio Bonzi,1943,Hands,1962.0
David Gordon,1936,Study for the dance The Matter,1971.0
Antonio López García,1936,The Staircase,1967.0
David Fredenthal,1914,Subway Car Interior,1930.0
Stanley Lench,1934,Pola Negri,1958.0
Rupprecht Geiger,1908,Number 9,1959.0
Lucebert,1924,The Centipede,1965.0
Eugenio Fernandez Granell,1912,The Battle of the Sierra Camellera,1957.0
Igael Tumarkin,1933,""" BRANCHES HORIZONTAL-BEAMS VERTICAL"" HOMAGE TO THE GREAT BUILDERS",1978.0
Paolo Guiotto,1935,Study for A Swallow,1963.0
Peter Young,1940,Number 4,1971.0
Francisco Zúñiga,1912,Woman Grasping the Nape of Her Neck,1975.0
Maurice Prendergast,1859,"Festival, Venice",1898.0
Ernst Neizvestny,1925,Drawing for Battle of Giants,1964.0
John Bageris,1924,Maenads,1959.0
Sonja Sekula,1918,Carco: La  Rose au Balcon,1942.0
Wanda Gág,1893,Franklin Stove,1927.0
Flávio de R. Carvalho,1899,Dr. Carvalhal Ribas,1955.0
Emilio Vedova,1919,Franco's Spain,1962.0
Gottfried Brockmann,1903,"The Existence of a Cripple, No. 4 (Krüppeldasein IV)",1922.0
José Leonilson,1957,Desire is a Blue Lake (O desejo é um lago azul),1989.0
Tono Zancanaro,1906,Gibbo the Hunter,1942.0
William Kienbusch,1914,Low Tide,1950.0
William Glackens,1870,Washington Square,1913.0
Everardo Ramirez,1906,Head of a Girl,1930.0
Elie Nadelman,1882,Bust of a Woman,1913.0
John Northcote Nash,1893,The Storm,1914.0
William Tucker,1935,"The Rim, First Drawing",1979.0
Gordon Matta-Clark,1943,Untitled (Energytree),1972.0
Antoine Pevsner,1886,The Eye,1923.0
Richard Boix,1894,Da-Da (New York Dada Group),1921.0
Sidney Goodman,1936,Man Waiting,1961.0
Bob Thompson,1937,Untitled (After Poussin),1964.0
James Kearns,1924,The Ring,1956.0
Richard Lippold,1915,Study for A Universe,1957.0
Ruth Vollmer,1903,Construction Drawing of Pseudosphere,1969.0
Jim Nutt,1938,Drawing for Fret,1990.0
Joseph Nechvatal,1951,Modern Picture War,1984.0
Gabriel Orozco,1962,XRTC 4,1996.0
Peggy Bacon,1895,Jules Pascin,1927.0
Charles L. Goeller,1901,Creation of the Sun and Moon,1933.0
Charles Sheeler,1883,Of Domestic Utility,1933.0
Michael Mullen,1937,Study for Sculpture,1960.0
Aldemir Martins,1922,The Traitor,1953.0
Mario Sironi,1885,Mannequin,1918.0
Mario Dyyon,1946,Traces of Love No. 23,1970.0
Adolf Dehn,1895,"Sunday Stroll, Vienna",1927.0
Abraham Walkowitz,1878,Hudson River Landscape with Figures,1912.0
Georges Lemmen,1865,Farmhouse in Flanders,1890.0
Mark Rothko,1903,Archaic Idol,1945.0
Emil Ganso,1895,Nude in Chemise,1932.0
Jacob Landau,1917,Cinna the Poet,1959.0
Philip Pearlstein,1924,Two Models,1975.0
Agnes Martin,1912,Red Bird,1964.0
Juan Downey,1940,Drawing for With Energy Beyond These Walls,1969.0
David Hammons,1943,Out of Bounds,1995.0
John Freeman,1942,Untitled: From Chickasaw Series. (Grimes Manufacturing),1970.0
Theo Wujcik,1936,James Rosenquist,1975.0
Eva Hesse,1936,Advocate of the Personal,1963.0
Robert Goodnough,1917,104,1968.0
Rene Portocarrero,1914,Mythological Personage,1945.0
Paul Kleinschmidt,1883,Head of a Woman (Frauenkopf),1935.0
Ione Robinson,1910,Firenze,1944.0
Hedda Sterne,1910,Harold Rosenberg,1964.0
Maurice Sterne,1877,Balinese Woman,1913.0
Juliusz Studnicki,1906,Chess,1963.0
Pieter Laurens Mol,1946,Southeast,1987.0
Marguerite Zorach,1887,Portrait of Yasuo Kuniyoshi,1927.0
Sam Szafran,1934,Man Asleep,1966.0
Dorothea Rockburne,1932,Copal No. 8,1976.0
Carlos Alonso,1929,Van Gogh,1966.0
Peter Agostini,1913,Wax Drawing No. 2,1962.0
Helmut Lang,1924,Southsea Boats,1961.0
Brett Whiteley,1939,"Deya, Mallorca Day",1967.0
Frederick Wardy,1937,"New York, No. 9",1973.0
Fred Williams,1927,"Desert Dust Storm, Tibooburra",1967.0
Emilio J. Renart,1925,Bio Cosmica C,1966.0
Humberto Rivas,1937,Desperate Self-Portrait,1966.0
Jonathan Borofsky,1942,"Double Self-Portrait with Moving Hands at 2,626,636",1979.0
Carlos Rojas,1933,Apolo 0.9,1966.0
Richard Lahey,1893,Portrait of Pop Hart,1920.0
John Roy,1930,Street Corner,1966.0
John Golding,1929,Drawing 80/10,1980.0
Nicola Tyson,1960,Untitled #13,1997.0
Rachel Whiteread,1963,Study for Wax Floor,1992.0
László Peri,1899,In Front of the Table,1922.0
Melvin Zabarsky,1932,Rosa's Murderers,1966.0
Christopher Wilmarth,1943,Left,1968.0
Pierre Dmitrienko,1925,The Couple,1965.0
Pierre Haubensak,1935,Study for Mauresque,1965.0
Sandi Slone,1939,Stonehenge Series #8,1981.0
Santiago Cárdenas,1937,Dibujo - Figure and Electric Cord,1991.0
Leon Kossoff,1926,Pilar No. 1,1988.0
Tom Otterness,1952,The European Notebook,1984.0
Dimitri Petrov,1919,Flinging down the Toscin,1963.0
Rodolfo Mishaan,1924,Maya,1965.0
Joy Jacobs,1932,Sable Shadows Before the Dawn XI,1991.0
Tom Levine,1945,Opus 67 No. 1,1987.0
Louis Soutter,1871,Surrealism (Surréalisme),
Domenico Bianchi,1955,Untitled (gray),1984.0
Mario Merz,1925,Berliner Tasse,1974.0
John Storrs,1885,Head of Marie Honneger,1929.0
William Zorach,1889,Edna St. Vincent Millay,1923.0
Bernard Pfriem,1916,Composition with Face and Hands,1963.0
Thelma Johnson Streat,1911,Rabbit Man,1941.0
Carl Pickhardt,1908,Young Man in the Sun,1935.0
Elyn Zimmerman,1945,Ceremonial Jade II,1992.0
Christian Rohlfs,1849,The Soldier (Der Soldat),1914.0
David Saunders,1954,Hard,1986.0
Carole Seborovski,1960,Layered Rectangles,1987.0
Brion Gysin,1916,A Trip from Here to There,1958.0
George Ault,1891,"Study for New Moon, New York",1944.0
Edward Burra,1905,Bal des Pendus,1937.0
Henri-Edmond Cross,1856,Landscape with Figures,1905.0
Alexis Gritchenko,1883,Saltimbanques Turcs,1920.0
Thomas Chimes,1921,Untitled (Study for The Inner World),1961.0
José Ygnacio Bermúdez,1922,Girl Playing with Dog,1953.0
Frederick Edward McWilliam,1909,Standing Figures,1956.0
Ilya Bolotowsky,1907,Blue and Black Vertical,1971.0
Kevin Appel,1967,House - South Rotation Red: 1 East,2000.0
Jacques-Enguérrand Gourgue,1930,Magic Table,1947.0
Shalom Of Safed (Shalom Moskowitz),1895,Noah's Ark,1965.0
Daniel Lang,1935,Surrey,1969.0
Robert Israel,1939,Gulliver's Son as a Sailor Boy. Costume design for the opera Gulliver,1972.0
Nancy Spero,1926,Codex Artaud XXIII,1972.0
Sara Sosnowy,1957,Large Spiral Series #9,1994.0
Toba Khedoori,1964,Untitled (Doors),1995.0
Dimitri Grinevich,1895,Collage: Nature Morte,1960.0
Jake Berthot,1939,For Adorno #1,1989.0
Norman Lewis,1909,The Messenger,1952.0
Albert Alcalay,1917,Times Square,1955.0
Elizabeth King Hawley,1833,Hanging Sphere,1875.0
Alfred Manessier,1911,Evocation of the Entombment,1948.0
Raquel Forner,1902,Moons,1957.0
Max Beerbohm,1872,John Singer Sargent,1909.0
Jim Amaral,1933,Study for a Love Poem,1972.0
Varujan Boghosian,1926,Village in the Storm,1955.0
Geoffrey Hendricks,1931,Sky,1966.0
Ronald Markman,1931,Parade,1957.0
Ricardo Martinez,1923,Colored Incomprehension,1964.0
René Magritte,1898,The Thought Which Sees,1965.0
Jan Menses,1933,KLIPPOTH #90,1964.0
James Forsberg,1919,Members of the Community,1951.0
Claudio Bravo,1936,The Skull,1973.0
Richard W. Ireland,1925,Amazon,1955.0
Guillermo Núñez,1930,Untitled (From the series: Diario de Vida de New York),1965.0
Valerio Adami,1935,"Inside an Arab Passageway, Marrakech",1969.0
Horace Brodzky,1885,Study for the painting The Family,1928.0
John Paul Jones,1924,Still-Life,1955.0
Byron Browne,1907,Girl with Bows,1937.0
Max Morise,1900,Figure,1927.0
Jeannette Ducrocq Tanguy,1896,Figure,1927.0
Pierre Naville,1900,Figure,1927.0
Benjamin Péret,1899,Figure,1927.0
Jacques Prévert,1900,Figure,1927.0
William E. Krallman,1925,The Seeker,1955.0
Mary Bauermeister,1934,We Need More Drawings,1964.0
Fred Kabotie,1900,Yellow Clowns,
Schilli Maier,1922,The Jersey Side,1953.0
Carlos Maria Miguel Squirru,1934,Cancer,1957.0
Leon Polk Smith,1906,Torn Drawing,1961.0
Pat Andrea,1942,Study for Metermaid,1968.0
Michael D. Dailey,1938,"Landscape Drawing, No. 1",1977.0
Robert Birmelin,1933,Opening Car Doors,1962.0
Katherine Schmidt,1898,Oak Leaves,1962.0
Zush (Alberto Porta),1946,The Tarot Cards,1976.0
Morita Yasuji,1912,The Wind Man,1953.0
Osawa Gakyū,1890,The Deep Pool,1953.0
Will Insley,1929,"Stage Space, Reduce",1967.0
Bob Duran,1938,Untitled (No. 206),1977.0
Alvin Colt,1916,Eleven costume designs and two set designs for the ballet Charade (or The Debutante),1939.0
Marian Warzecha,1930,Number 50,1960.0
Jacob El Hanani,1947,Untitled (No. 101),1977.0
Johannes Baader,1875,The Author of the Book Fourteen Letters of Christ in His Home (Der Verfasser das Buches Vierzehn Briefe Christi in seinem Heim),1920.0
McDonald (Mackey Jeffries) Bane,1928,D-1-67,1967.0
Dennis Evans,1946,Composition for 100 Discrete Rain Events,1976.0
Scottie Wilson,1889,Fantastic Flowers,1930.0
Marcel Polak,1902,Christmas,1954.0
Linda Chapman,1952,Waiting for Delacroix,1977.0
Panamarenko,1940,High Efficiency Gas Turbine II,1969.0
Abe Shiro (pen Name: Suichiku),1900,Delight of Peaceful Life,1953.0
Colette Bangert,1934,Flatland Fields,1961.0
Joseph Piccillo,1937,Fade Out-D,1972.0
Larry Gray,1944,"March 29, 1977",1977.0
Ikeda Fumio (pen Name: Suijo),1912,White Path,1953.0
Takeshi Imaji,1913,The Sun,
Ueda Sōkyū,1900,Nine Coves and Three Bends in the River,1953.0
Antonio Segui,1934,Rower (Canotier),1970.0
Tom Lee,1910,Eighteen costume designs and one set design for the ballet Juke-Box,1941.0
Frederick Franck,1909,"Dr. Albert Schweitzer at Work, Kept Company by His Ants",1958.0
Barbara Horosko,1950,Patch,1977.0
Gerome Kamrowski,1914,River Flow and Troll,1943.0
Gwen Knight,1913,Figure Study No. 3,1975.0
William Bayard Okie Jr.,1906,Set design for the ballet Serenade,1934.0
Georges Lacombe,1868,"Tree Trunk, Normandy",1898.0
Charles Rain,1911,Seventeen costume designs for the ballet Yankee Clipper,1937.0
Norman Lundin,1938,Blackboard and Light Switch,1978.0
Nicolas Remisoff,1884,Sketch for tableaux for a Théâtre de la Chauve-Souris production,1922.0
Xavier Mellery,1845,Beguines at Prayer,1894.0
Peter Caldwell Millett,1949,Poncho Drawing,1977.0
Andrea Zittel,1965,Functionally Fixed and Functionally Unfixed Panels,1998.0
George Minne,1867,Kneeling Youth,1896.0
David Ligare,1945,SDX #25,1973.0
Margaret Ann Moorman,1948,"Gaudy Dawn, Texas",1977.0
Marlene Dumas,1953,Magdalena,1996.0
Forrest Thayer,1919,Eight costume designs for the ballet Promenade,1936.0
Ellen Gallagher,1965,Skinatural,1997.0
François Rouan,1943,Montecalvello-Trellage,1973.0
John Byam Shaw,1872,The Tempest,1900.0
Stuart Diamond,1942,Human/Nature,1988.0
James Thurber,1894,Just Some of My Husband's Kickshaws,1931.0
Fred Sandback,1943,Study for a Sculpture,1971.0
Dana Duff,1955,Background #9,1985.0
Peter Hutchinson,1930,Breaking In from the video tape Shorts,1973.0
Lawrence Kupferman,1909,Low Tide Seascape,1947.0
Barry Cohen,1934,Bees (Vol I),1960.0
Helen Torr,1886,Basket of Vegetables,1928.0
Michael Heizer,1944,Field Painting No. 2,1968.0
Chaim Gross,1904,Study for Handlebar Riders,1934.0
David V. Hayes,1931,Study for Beast,1957.0
Faramarz Pilaram,1937,The Blades (Tigheha),1962.0
Fausto Pirandello,1899,Women's Quarters (Gineceo),1950.0
Charles Hossein Zenderoudi,1937,K+L+32+H+4. Mon père et moi (My Father and I),1962.0
Lily Cushing,1909,"Main Street, Saugerties",1938.0
Sawada Tetsuro,1933,Reflection in the Water,1960.0
Eugène Dodeigne,1923,Tree,1962.0
Gene Vass,1922,XXVII,1960.0
Giuseppe Penone,1947,Untitled (No. 1),1981.0
Lari Pittman,1952,Counting to Welcome One's Defrosting,1990.0
Albert Oehlen,1954,Designs for Tannhäuser,1987.0
Rainald Goetz,1954,Designs for Tannhäuser,1987.0
Jack Roth,1927,Where are they now?,1962.0
Thomas Mukarobgwa,1924,Very Important Bush,1962.0
Guenter Tuzina,1951,3-Teilige Zeichnungsgruppe,1988.0
John Walker,1939,Form as Hook,1985.0
Donald M. Oenslager,1902,The Avalanche. Design for Act V of the play Brand,1928.0
Seymour Rosofsky,1924,Men at a Table,1961.0
Alexander Bogomazov,1880,.a) Man and Woman Carrying Large Baskets  .b) Untitled,1927.0
Candido Portinari,1903,Fishermen,1940.0
Claud Lovat Fraser,1890,Voile,1918.0
Ivan Kudriashov,1896,Le Tram arrivé,1915.0
Allan McCollum,1944,Collection of Thirty Drawings. (No. 14),1988.0
Augustus John,1878,Alice Rothenstein,
Stephen Prina,1954,"UNTITLED (Computer Diskette, Ed. #6/6)",1987.0
Paul Kelpe,1902,"Composition, Number 160",1928.0
Leo Rabkin,1919,The Red Visit,1960.0
Ida Applebroog,1929,Couples I,1983.0
William Scott,1913,Still Life with Strainer,1956.0
Carlo Carrà,1881,Concert Cafe,1912.0
Jo Baer,1929,Rook,1962.0
Joseph Cornell,1903,Portrait of the Artist's Daughter by Vigée-Lebrun,1960.0
Takis Marthas,1905,Composition IV,1963.0
Sari Dienes,1898,Tomb,1953.0
Peter Doig,1959,Echo Lake,1999.0
Peter Takal,1905,Winter Vine,1962.0
Jackie Ferrara,1929,D71 Wall Corner and Floor,1983.0
Johannes Gecelli,1925,Tisch Quer,1961.0
Julia Fish,1950,Garden #9 (revised),1993.0
James Francis Gill,1934,Laughing Woman and Close-Up,1964.0
Edward Kienholz,1927,For A Mans Certina,1974.0
David Brown Milne,1882,Sunburst Over the Catskills,1917.0
Marcia Hafif,1929,Hand Drawing,1977.0
Richard Merkin,1938,The Night the Nut Got Loose,1965.0
Piero Manzoni,1933,Thumbprint,1960.0
Eve Andrée Laramée,1956,"Approximate Locations Near Ingólfsfjall, Iceland",1993.0
Katherine Porter,1941,The City Fell Away,1984.0
Tony Urquhart,1934,"Forest Floor, II",1961.0
Chris Ofili,1968,Prince Amongst Thieves with Flowers,1999.0
Walter William Barker,1921,I-Ching Series,1962.0
Alan Saret,1944,Jack Common Spring Entering,1983.0
Emilio Cruz,1938,Traffic Jam,1970.0
Melvin Edwards,1937,Chains and Things,1970.0
Karin Sander,1957,KS 1993/52,1993.0
Dong Kingman,1911,From My Roof,1941.0
Baroness Elsa von Freytag-Loringhoven,1874,Dada Portrait of Berenice Abbott,1923.0
Renato Guttuso,1912,Bull,1949.0
Robert Gwathmey,1903,Folk Song,1947.0
Jirí Kolár,1914,Stinova (Mrs. Stein),1960.0
Robert Edmond Jones,1887,Bedroom:  Set design for Othello,1937.0
Elisabeth Frink,1930,Bird,1960.0
William Kentridge,1955,Drawing from Stereoscope,1998.0
Peter Bradley,1940,The Dearest One La Gaza M.F.R,1967.0
Marvin Harden,1935,A Fine and Private Place,1967.0
Felix Klee,1907,Fritzi,1919.0
Albert Dubois-Pillet,1846,The Towers of Saint-Sulpice,1888.0
Moses Soyer,1899,Studies for Julia Evergood,1962.0
Rainer Wittenborn,1941,Six Hands,1967.0
Harry Bouras,1931,77 Examples,1971.0
Theodoros Stamos,1922,Happy Birthday Helen,1951.0
John Fawcett,1939,Algiers Motel - Detriot,1967.0
Alan Sonfist,1946,Dye Reaction,1970.0
Frank Auerbach,1931,Head of Catherine Lampert VI,1979.0
Tal Streeter,1934,Study for Endless Column,1968.0
Alan Cote,1937,Bright Light,1980.0
Tom Holland,1936,Dome Series No. 25,1980.0
Ken Kiff,1935,Sequence 68: Visiting Hell in a Boat,1973.0
W. Koenigstein,1944,"A Rather Ordinary, Vulgar Thought",1980.0
Emilio Sanchez,1921,A White House (Una Casa Blanca),1973.0
Jan Matulka,1890,Prague,1921.0
Joan Snyder,1940,Study for FMSWNL,1980.0
Duane Michals,1932,"Coffee Cup, Knife and Book",1980.0
Jill Moser,1956,Hold For,1985.0
Alexei Jawlensky,1864,Reclining Nude (Liegender Akt),1912.0
Christopher Richard Wynne Nevinson,1889,Study for The Departure of the Train de Luxe,1913.0
Thornton Willis,1936,The Garden at Night,1982.0
Emilio Terry,1890,Fireplace with a Waterfall,1933.0
Richard Baringer,1921,Plan of Aluminum Arch,1966.0
Robert Grosvenor,1937,Project for Existing Building with at Least One Glass Wall,1967.0
Richard Haas,1936,Lower Manhattan: Sunset,1979.0
Andrzej J. Wroblewski,1934,Instrument #3,1962.0
Omar Rayo,1928,Free-Fall,1966.0
Thomas Wilfred,1889,"Study for Lumia Suite, Opus #158",1964.0
Lloyd Goldsmith,1945,View in Brooklyn,1975.0
Richard Taylor,1902,Alone,1940.0
Lucio Pozzi,1935,8 May 1973,1973.0
Elaine Lustig Cohen,1927,Topkapi,1997.0
Walter De Maria,1935,The Three Mountains with the Four Fires Floated on the Blue Sea toward the Green Mountains,1964.0
Sergei Eisenstein,1898,Salome,1932.0
Stanley Spencer,1891,"Welcomed (Page 48 from Scrapbook, Volume 2)",1943.0
Sherrie Levine,1947,"Untitled (After Malevich and Schiele), from the 1917 exhibition, Nature Morte Gallery, New York",1984.0
Sam Gilliam,1933,"Watercolor, 4",1969.0
John Flannagan,1898,"Study for Triumph of the Egg, II",1941.0
Martin Puryear,1941,Malediction,1989.0
Alfonso Ossorio,1916,Impregnate,1951.0
Francisco Farreras,1927,Collage Number 242,1965.0
Domenico Gnoli,1933,Loading Crates,1959.0
Angelo Ippolito,1922,An American Collage,1976.0
Jared French,1905,Costume designs for the ballet Billy the Kid,1938.0
Alice Halicka,1895,Baiser de la fee:  Costume designs for the ballet,1937.0
Jeanne Mammen,1890,Carnival in Berlin N III (Fasching Berlin N III),1930.0
Alexander Dobkin,1908,The Artist's Wife,1964.0
Franz Erhard Walther,1939,The Body is the Border,1969.0
Michael Vessa,1948,Working Drawing For Far West Room,1977.0
Alfred Wallis,1855,Rough Sea,
Raphael Soyer,1899,Pascin's Model,1925.0
Werner Büttner,1954,"Pst, Ich Denke",1989.0
William H. Constable,1906,"Design for an Aboriginal Ballet, II",1939.0
Dennis Oppenheim,1938,Study for TIME POCKET,1968.0
Antonin Heythum,1901,Brown's Office. Set design for the play The Great God Brown,1928.0
Richmond Burton,1960,Untitled (Concentric Steps' Study),1989.0
Jenny Holzer,1950,LAMENTS: THE NEW DISEASE CAME...,1988.0
Melissa Meyer,1947,Diptych #2,1989.0
Melissa Miller,1951,Moon,1983.0
Hugh O'Donnell,1950,Body Echo 26,1990.0
Harvey Quaytman,1937,Study for Wanderer,1988.0
Thomas Schütte,1954,Sieben Felder (Seven Fields),1989.0
Raymond Breinin,1910,One Morning,1939.0
Edward Steichen,1879,LE COQ GAULOIS,1915.0
Edward Chavez,1917,Colt,1939.0
Erica Karawina,1904,Adagio,
Oswaldo Guayasamín,1919,Untitled (Study for Mother and Child),1942.0
Elizabeth McFadden,1912,Banners of the Sun,1955.0
Eduardo Ramírez Villamizar,1922,Black and White,1956.0
Benny Andrews,1930,Come out Fighting,1970.0
Eugène Carrière,1849,Sleeping Woman,1897.0
Bill Jacklin,1943,Benedictine,1970.0
Jill Baroff,1954,Blackbird,1997.0
George A. Swanson,1908,Annabelle Lyon (The Lustful Virgin),1941.0
Philip Evergood,1901,Anne Feinberg,1928.0
Gianfranco Baruchello,1924,Assez Donc! (Enough!),1963.0
René Bertholo,1935,They Were Expelled,1961.0
Enrique Castro-Cid,1937,Poetical Information,1963.0
Bertha Trabich,1879,Tipsy,1937.0
Rodolfo Abularach,1933,A Head for Ixtab,1958.0
Edwin Dickinson,1891,"East End, View from Wharf",1933.0
Alberto Dutary,1932,"For Each Ten Wafers, The Free Right to be Immoral",1963.0
John Edward Dowell,1941,For at Least 8 Lovers,1972.0
Franz West,1947,Hangaround,1997.0
Jesús Reyes Ferreira,1882,Angel,
Georges Bataille,1897,Untitled drawings for Soleil vitré,1925.0
Berthe Morisot,1841,.a Standing Girl .b Harbor Scene,1888.0
Robert Osborn,1904,Death as a Matador,1954.0
Fritz Wotruba,1907,Standing Boy,1925.0
Ivan Tabaković,1898,Escape to Universe,1962.0
René d'Harnoncourt,1901,"Untitled, from Seven Drawings",1950.0
Rouben Ter-Arutunian,1920,Angels of the Iconostasis. Design for the television dance drama Noah and the Flood,1962.0
Dan Flavin,1933,"Pink out of a Corner from No. 1 of December 19, 1963",1965.0
Klaus Liebig,1936,Ephebus before the Window,1970.0
Kenzo Okada,1902,Number 2A,1957.0
Jesse Reichek,1916,12:25,1961.0
Carlos Scliar,1920,Pear and Cherry,1965.0
Aquiles Badi,1894,"School Tableau, San Martin's Birthday",1935.0
Luis Quintanilla,1895,Air Raid in Country District,1937.0
Héctor Basaldua,1895,Expresso Villalonga (El Calle),1937.0
Edith Behring,1916,Untitled (Boy),1938.0
Camilo Blas (José Alfonso Sánchez Urteaga),1903,Threshing ( La Trilla ),1928.0
Bill Beckley,1946,Hot and Cold Faucets with Drain,1975.0
José Bernardo Cardoso Jr.,1861,Still Life with View of the Bay of Guanabara,1937.0
Catherine Murphy,1946,Winter in the Country,1979.0
Octave Landuyt,1922,Turtle,1957.0
Connor Everts,1928,KNOW MY TERROR!,1964.0
Paul Gauguin,1848,Portrait of Meijer de Haan,1889.0
James Biederman,1947,Diptych,1980.0
Carl Holty,1900,The Warriors,1948.0
Alberto da Veiga Guignard,1895,Study for Ouro Preto: St. John's Eve,1942.0
Dan Christensen,1942,Untitled (No. 003-78),1978.0
Mary Petty,1899,The New Year,1949.0
Kenneth Martin,1905,"Chance, Order, Change",1978.0
Rikuro Okamoto,1943,Moving Rock #14-1 Drawing,1980.0
Gustavo Lazarini Terradas,1918,Aunt Juliana,1941.0
Paul Wonner,1920,Study for Still Life with Cracker Jacks and Candy,1980.0
Mariano (Mariano Rodríguez),1912,Figures in a Landscape,1942.0
Martinez Pintao (Manuel Martinez Pintao),1875,The Reaper,1935.0
Gerald Coble,1933,Botticelli Landscape,1968.0
Otto Fried,1922,Pure Ivory,1993.0
Alice Aycock,1946,"Study for Project Entitled ""Studies for a Town""",1977.0
Elena Borstein,1946,Kritinia II,1978.0
Julian Schnabel,1951,Untitled (LO TANGO),1990.0
Donald Munson,1945,Spoon Pond,1967.0
Jorge Tapia,1940,Last Summer's Blues,1967.0
Emily Fuller,1941,July #10,1977.0
Patricia Johanson,1940,Leaf Fountain / 3/8 Phyllotaxy,1974.0
Julio Montenegro,1897,Field,1928.0
Junius Redwood,1917,Night Scene,1941.0
Vaslav Nijinsky,1890,Untitled (Figures),1917.0
Manuel Angeles Ortiz,1895,Sketch for lithograph In the Open Country,1941.0
Diógenes Paredes,1910,Threshers (Segadores),1942.0
Alfonso Ramirez Fajardo,1920,Fiesta,1942.0
Hippolyte Petitjean,1854,Landscape with Road,1900.0
Michael Vivo,1947,Segment II,1978.0
Vernon Hill,1886,Graham Robertson,1910.0
Earl Miller,1930,American Flyer,1965.0
Tebo (Ángel Torres Jaramillo),1916,Portrait of My Mother,1937.0
Norah Borges de Torre,1901,Holy Week (Semana Santa),1935.0
Osvaldo Borda,1929,El Coleccionista,1968.0
Patti Smith,1946,Portrait of Rimbaud,1973.0
Jorge de la Vega,1930,Documentary,1966.0
